Country,Year,Status,Life expectancy,Total expenditure,GDP
Poland,2011,Developed,76.7,6.7,13893.18768
Poland,2010,Developed,76.3,6.88,12599.52486
Portugal,2014,Developed,89,9.5,2277.53613
Portugal,2013,Developed,86,9.55,21618.73534
Portugal,2012,Developed,83,9.74,2577.4264
Romania,2014,Developed,74.8,5.57,12.27733
Romania,2013,Developed,74.6,5.6,9585.266593
Romania,2012,Developed,74.4,5.48,8558.39766
Romania,2011,Developed,74.3,5.53,92.277825
Romania,2010,Developed,73.4,5.83,8297.483621
Singapore,2014,Developed,82.9,4.92,56336.7234
Singapore,2013,Developed,82.7,4.53,5629.18914
Singapore,2012,Developed,82.5,4.22,54431.16199
Singapore,2011,Developed,82.2,3.93,53166.67581
Singapore,2010,Developed,82,3.96,46569.67951
Slovenia,2014,Developed,87,9.23,242.67286
Slovenia,2013,Developed,85,9.29,2315.31799
Slovenia,2012,Developed,82,9.37,22486.47167
Slovenia,2011,Developed,79.8,9.8,24985.24827
Slovenia,2010,Developed,79.5,9.7,23437.4722
Spain,2014,Developed,82.6,9.3,296.47225
Spain,2013,Developed,82.4,9.1,2921.9342
Spain,2012,Developed,82,9.39,28562.29324
Spain,2011,Developed,82.1,9.48,31834.21816
Spain,2010,Developed,81.9,9.56,3736.228
Sweden,2014,Developed,82.3,11.93,5918.19898
Sweden,2013,Developed,81.9,11.97,6283.24522
Sweden,2012,Developed,81.7,11.8,57134.777
Sweden,2011,Developed,81.7,11.7,59593.28711
Sweden,2010,Developed,81.5,9.47,5276.25591
Switzerland,2014,Developed,83.2,11.66,85814.58857
Switzerland,2013,Developed,83,11.71,84658.88768
Switzerland,2012,Developed,82.7,11.59,83164.38795
Switzerland,2011,Developed,82.6,11.21,87998.44468
Switzerland,2010,Developed,82.3,11.7,74276.71842
